PROJECT_NUMBER,PROJECT_EN,DEVELOPER_NUMBER,DEVELOPER_EN,START_DATE,END_DATE,ADOPTION_DATE,PRJ_TYPE_EN,PROJECT_VALUE,ESCROW_ACCOUNT_NUMBER,PROJECT_STATUS,PERCENT_COMPLETED,INSPECTION_DATE,COMPLETION_DATE,DESCRIPTION_EN,AREA_EN,ZONE_EN,CNT_LAND,CNT_BUILDING,CNT_VILLA,CNT_UNIT,MASTER_PROJECT_EN
"4327","Binghatti Skyterraces","1051","Binghatti Developers FZE","2026-01-01 00:00:00","2027-10-31 00:00:00","2026-02-03 11:30:17","Normal","720000000","001582233255201","ACTIVE","0","2026-01-01 18:32:29","","2B + G + 6P + 40 RESIDENTIAL FLOORS + 2MECH. + ROOF","Al Hebiah First","","0","0","0","1587",""
"4328","Sobha Central ","966","SOBHA L.L.C","2026-03-31 00:00:00","2031-12-31 00:00:00","2026-03-16 21:43:50","Normal","2315467680","001640240091301","ACTIVE","0","2026-01-13 12:26:28","","Proposed Residential, Offices and Commercial Development consist of 2 Towers with shopping centre, \nBuilding 5: 4 Basement + Ground + 99 Floors + Roof  \nBuilding 6: 4 Basement + Ground + 65 floors  + Roof ","Jabal Ali First","Dubai Municipality","0","0","0","2169",""
"4330","OXFORD COVE","1178","IMAN DEVELOPERS L.L.C","2026-03-01 00:00:00","2028-10-30 00:00:00","","Normal","71500001","","PENDING","0","2026-02-04 17:11:02","","B + G + 1P + 5F + R","Al Barsha South Fourth","","0","0","0","212",""
"4331","Linea by Holm","2428","HOLM AVENUE REAL ESTATE DEVELOPMENT L.L.C S.O.C","2026-02-01 00:00:00","2028-06-15 00:00:00","2026-01-30 11:28:45","Normal","67980000","0205933054508","ACTIVE","0","2026-01-06 11:33:38","","G+2P+8FLRS+ R ( Residential )","Al Satwa","","0","0","0","210",""
"4333","The Key","2191","HOMEDGE REAL ESTATE DEVELOPMENT L.L.C","2026-03-20 00:00:00","2028-03-20 00:00:00","","Normal","23200000","","PENDING","0","2026-01-06 14:15:22","","G+2P+8+ROOF","Al Satwa","","0","0","0","54",""
"4334","Axilla","2191","HOMEDGE REAL ESTATE DEVELOPMENT L.L.C","2026-03-20 00:00:00","2028-03-20 00:00:00","","Normal","23200000","","PENDING","","","","G+2P+8+ROOF","Al Satwa","","0","0","0","54",""
"4335","The Hudson","2502","CRYSTAL PRIME REAL ESTATE DEVELOPMENT L.L.C","2026-02-15 00:00:00","2029-02-14 00:00:00","","Normal","28500000","0205945602403","PENDING","0","2026-01-16 18:40:10","","Residential Building [G+1P+5+R] with Swimming Pool and Gym at First floor ","Al Barsha South Fourth","","0","0","0","96",""
"4336","ENRE RESIDENCE BY IMTIAZ","2579","IMTIAZ SOUTH REAL ESTATE DEVELOPMENT L.L.C","2026-02-15 00:00:00","2028-08-15 00:00:00","2026-03-02 12:30:35","Normal","101461500","200927493","ACTIVE","0","2026-01-08 13:21:18","","B+G+9 - RESIDENTIAL BUILDING","Madinat Al Mataar","Dubai South","0","0","0","170",""
"4340","ZEN LAGOONS","2302","ZENNOVA REALTY REAL ESTATE DEVELOPMENT L.L.C","2026-03-31 00:00:00","2029-06-30 00:00:00","","Normal","140000000","","PENDING","0","2026-02-02 17:55:40","","Ground Floor+4 Parking+19Floors+Roof (Commercial & Residential)","Bukadra","","0","0","0","177",""
"4341","Nami Island Project","2325","NAMI ISLAND DEVELOPMENT L.L.C","2026-01-12 00:00:00","2029-01-12 00:00:00","","Normal","400000000","","PENDING","","","","Project Description (English)\nNami Island is a mid-density, waterfront residential development designed for regulated real-estate structuring, including escrow and related compliance requirements under Dubai Land Department (DLD). The project comprises a finite collection of island-based villas supported by shared infrastructure and a central clubhouse facility.\n\nThe development includes the following villa classifications:\n\nWater Villas ? 4-bedroom residences located along the internal waterfront perimeter of the island.\n\nBeach Villas ? 5-bedroom residences positioned adjacent to shoreline zones within the island boundary.\n\nMansion (Maison) Villas ? 6-bedroom, multi-level residences designed with larger built-up communal areas.\n\nAncillary components forming part of the overall master plan include: buggy parking, service rooms, MEP zones, a diesel generator and fuel storage, sewerage treatment plant, hydrant and water tank systems, a helipad, marina setback, and designated enhanced view corridors as indicated in the project layout. The project is structured as a controlled residential build within defined plot limits, for documentation and escrow administration purposes.","World Islands","","1","0","0","0",""
"4342","The Lyceum","2310","RETHINK VIRERA REAL ESTATE DEVELOPMENT L.L.C","2026-04-01 00:00:00","2028-10-01 00:00:00","","Normal","102371436","","PENDING","0","2026-01-13 16:57:11","","G+4P+17+R","Al Barsha South Fifth","","1","0","0","0",""
"4344","Isla Residences by Chaimaa Holding","1166","DEVAL REAL ESTATE DEVELOPMENT L.L.C","2026-04-01 00:00:00","2028-03-31 00:00:00","","Normal","38021760","","PENDING","0","2026-01-15 17:28:25","","Residential / Commercial Building G + 2P + 12 Floors","Palm Deira","","0","0","0","76",""
"4346","THE MERIVA COLLECTION","2423","CRESTARC DEVELOPERS L.L.C","2026-04-03 00:00:00","2031-12-31 00:00:00","","Normal","1100000000","","PENDING","0","2026-02-19 13:24:45","","(B+G+20 High Rise Residence) + 2X (B+G+10 Mid Rise Residence) + 2X (B+G+6\nResidence) + (B+G+2 Residence) + (B+G+5 Hotel) + Supporting Amenities","Palm Deira","","0","0","0","735",""
"4350","South Lofts by Premier Choice","1397","P C I REAL ESTATE DEVELOPERS L.L.C","2026-01-15 00:00:00","2029-01-30 00:00:00","2026-03-26 09:49:01","Normal","22000000","0205959438202","ACTIVE","0","2026-01-19 09:32:43","","G + P + P. High Level + 6 + R","Saih Shuaib 2","Dubai Development Authority (DDA)","0","0","0","149",""
"4351","DELLA X","2481","DELLA LUXURY DEVELOPER L.L.C","2026-02-01 00:00:00","2028-12-25 00:00:00","","Normal","210000000","","PENDING","0","2026-03-14 11:43:47","","DELLA X LUXURY PROJECT IN PALM","Palm Jumeirah","","0","0","0","153",""
"4352","Nad Al Sheba Gardens Phase 12","1762","NAS ESTATES L.L.C","2026-03-01 00:00:00","2029-08-01 00:00:00","2026-03-11 12:12:54","Normal","690000000","0205865423616","ACTIVE","0","2026-01-20 11:09:59","","Residential project with total number of 97 (G+2) villas as follows: \n\n- 55 of 4 Bedroom Villas\n- 42 of 5 Bedroom Vllas \n","Nad Al Shiba First","Dubai Development Authority (DDA)","0","0","97","0",""
"4353","STORIES BY MIRFA","2511","MIRFA HARMONY REAL ESTATE DEVELOPMENT L.L.C","2026-03-01 00:00:00","2028-03-31 00:00:00","2026-03-18 12:14:39","Normal","38100000","0205946210003","ACTIVE","0","2026-01-16 17:32:30","","Basement+Ground+6Floor+ROOF","Madinat Al Mataar","Dubai South","0","0","0","100",""
"4355","FOREST CITY TOWER 3","1124","AL HELAL AL ZAHABY REAL ESTATE DEVELOPMENT L.L.C","2026-04-01 00:00:00","2032-04-01 00:00:00","","Normal","200000000","","PENDING","","","","Residential Building (2 Basement + G + 1P + 9 Floors)  ","Madinat Al Mataar","","0","0","0","642",""
"4356","HQA By Arista","2516","ARISTA ONE REAL ESTATE DEVELOPMENT L.L.C","2026-03-15 00:00:00","2028-06-30 00:00:00","2026-02-10 14:06:05","Normal","55000000","3718514835103","ACTIVE","0","2026-01-19 12:22:10","","3B+G+7+R","Jabal Ali First","","0","0","0","52",""
"4358","Tulip Oasis 11 Tower 2","2107","A M E REAL ESTATE DEVELOPMENT L.L.C","2026-02-01 00:00:00","2028-09-30 00:00:00","","Normal","75000000","","PENDING","0","2026-01-22 13:03:14","","G + P + 10","Wadi Al Safa 3","","1","0","0","0",""
"4360","CHAVELLE BY IMTIAZ","1641","IMTIAZ GHD REAL ESTATE DEVELOPMENT L.L.C","2026-03-15 00:00:00","2029-03-15 00:00:00","2026-03-02 12:31:01","Normal","118134359","1001225996258016","ACTIVE","0","2026-01-20 11:53:32","","G+4P+20 Retail and Residential Building","Bukadra","","0","0","0","145",""
"4365","Listone Residence","2535","LION STONE PROPERTIES L.L.C","2026-04-01 00:00:00","2027-08-31 00:00:00","","Normal","98500000","19612505","PENDING","0","2026-01-21 18:01:22","","Residential Building (G+2 podium +6 Floors +R )","Al Warsan First","","0","0","0","312",""
"4370","Binghatti Spectre","1051","Binghatti Developers FZE","2026-02-01 00:00:00","2028-03-31 00:00:00","","Normal","500000000","","PENDING","0","2026-02-05 16:16:29","","1","Al Jadaf","","1","0","0","0",""
"4371","Coventry Curve","2053","G F S REAL ESTATE L.L.C","2026-03-01 00:00:00","2028-06-15 00:00:00","2026-04-13 09:24:38","Normal","53000000","19596391","PENDING","0","2026-02-04 18:49:05","","1B+G+5F+R","Saih Shuaib 2","Dubai Development Authority (DDA)","0","0","0","246",""
"4373","The Valley - Alva","1211","EMAAR DEVELOPMENT P.J.S.C.","2026-03-31 00:00:00","2030-03-31 00:00:00","2026-02-12 11:57:37","Normal","293328000","001640234355801","ACTIVE","0","2026-01-28 12:17:19","","Residential development consisting of 196 townhouse units (G+1)\n","Al Yufrah 1","Dubai Development Authority (DDA)","0","0","196","0",""
"4383","Calla Isle","2263","N Y X REAL ESTATE DEVELOPMENT L.L.C","2026-04-01 00:00:00","2028-03-30 00:00:00","","Normal","59000000","","PENDING","","","","Residential Building (G+2P+8)","Palm Deira","","1","0","0","0",""
"4387","MARAVELLE FAMILY COMPLEX","2116","K M Y REAL ESTATE L.L.C","2026-03-01 00:00:00","2029-08-31 00:00:00","","Normal","210000000","","PENDING","0","2026-03-05 23:24:08","","Mixed-Use Project (Residential Apartments + Retail + Hotel) comprising 1 Basement + Ground Floor + 9 Floors","Madinat Al Mataar","","0","0","0","668",""
"4390","AMALI RESIDENCES","2109","AMALI CANAL L.L.C","2026-02-15 00:00:00","2030-12-30 00:00:00","","Normal","544267002","","PENDING","0","2026-02-05 12:31:49","","Project consists of 1 tower, G+5P+48 Residential floor levels located in Al Wasl, Plot No. 3431268, Dubai, United Arab Emirates. This building is designed to have concrete structure and block with internal and external finishes.","Al Wasl","","1","0","0","0",""
"4392","Coventry 49","2190","GFS WONDERS DEVELOPERS L.L.C","2026-03-15 00:00:00","2028-05-15 00:00:00","2026-04-13 12:19:01","Normal","21000000","19607923","PENDING","0","2026-02-11 10:55:39","","PROPOSED RESIDENTIAL BUILDING (G+4+ROOF) ","Madinat Al Mataar","Dubai South","0","0","0","51",""
"4393","Binghatti Skyflame 1","1051","Binghatti Developers FZE","2026-02-01 00:00:00","2027-12-31 00:00:00","2026-03-26 19:27:26","Normal","465000000","6555887192013","ACTIVE","0","2026-02-11 16:30:25","","G + 5P + 27 RESIDENTIAL FLOORS + MECH. + ROOF","Wadi Al Safa 3","Dubai Development Authority (DDA)","0","0","0","1407",""
"4394","Samana Business Hub","2071","SAMANA PREMIUM REAL ESTATE DEVELOPMENT L.L.C","2026-03-01 00:00:00","2029-09-30 00:00:00","2026-03-23 17:09:01","Normal","194189567","6555949331502","ACTIVE","0","2026-02-11 09:57:31","","3B+5P+G+18F+R\n","Jabal Ali Industrial Second","Trakhees","0","0","0","323",""
"4395","Globna by Crystal Bay Azure","2491","CRYSTAL BAY AZURE DEVELOPMENT L.L.C","2026-03-01 00:00:00","2028-02-28 00:00:00","","Normal","20000000","","PENDING","0","2026-03-07 12:55:17","","B+G+R","Madinat Al Mataar","","1","0","0","0",""
"4397","Samana Island","2587","SAMANA LUX REAL ESTATE DEVELOPMENTS L.L.C","2026-03-01 00:00:00","2029-09-30 00:00:00","","Normal","384832590","","PENDING","","","","G+4 Mixed Use Development ( Residential + Commercial )\n","World Islands","","1","0","0","0",""
"4399","Binghatti Skyflame 2","1051","Binghatti Developers FZE","2026-02-01 00:00:00","2027-12-31 00:00:00","2026-03-24 11:51:01","Normal","267000000","6555887192010","ACTIVE","0","2026-02-11 16:32:36","","G + 5P + 22 RESIDENTIAL FLOORS + MECH. + ROOF","Wadi Al Safa 3","Dubai Development Authority (DDA)","0","0","0","801",""
"4400","Nejm 1","1849","DANF DEVELOPMENTS L.L.C","2026-01-01 00:00:00","2027-06-30 00:00:00","2026-03-05 10:18:47","Normal","20000000","3718506121803","ACTIVE","0","2026-02-14 08:38:39","","Residential Building B + G + 5 Floors and Roof   ","Wadi Al Safa 3","","0","0","0","55",""
"4401","Rabdan Square","2567","RABDAN SQUARE DEVELOPMENTS L.L.C","2026-03-01 00:00:00","2028-03-01 00:00:00","2026-03-26 15:21:43","Normal","35000000","001582241303101","ACTIVE","0","2026-02-16 13:36:33","","B+G+5 Mixed use 30 Residential units + 3 Retail units = 33 Units","Nad Al Shiba First","Dubai Municipality","0","0","0","36",""
"4402","Jadaf Beach Oasis","1002","AZIZI DEVELOPMENTS L.L.C","2026-02-13 00:00:00","2029-02-09 00:00:00","","Normal","50000000","","PENDING","0","2026-02-13 14:16:09","","4B+G+2P+15F+PENTHOUSE+ROOF\nRESIDENTIAL BUILDING","Al Jadaf","","0","0","0","1276",""
"4403","Azizi Rose","1002","AZIZI DEVELOPMENTS L.L.C","2026-03-04 00:00:00","2028-03-04 00:00:00","","Normal","67212000","","PENDING","0","2026-02-13 11:53:28","","PROPOSED 4B+G+UG+3P+8+R\nRESIDENTIAL BUILDING","Jabal Ali Industrial Second","","0","0","0","226",""
"4405","Binghatti Square 1","1051","Binghatti Developers FZE","2026-03-01 00:00:00","2027-06-30 00:00:00","","Normal","87000000","","PENDING","0","2026-02-18 13:01:30","","B + G + 7 RESIDENTIAL FLOORS + ROOF","Wadi Al Safa 3","","1","0","0","0",""
"4406","Al Aiham Homes","2404","DAR AL AIHAM PROPERTIES L.L.C","2026-04-01 00:00:00","2028-04-01 00:00:00","","Normal","33000000","","PENDING","0","2026-03-13 07:14:04","","Residential Building G+1P+5","Warsan Fourth","","1","0","0","0",""
"4408","Binghatti Square 2","1051","Binghatti Developers FZE","2026-03-01 00:00:00","2027-06-30 00:00:00","","Normal","174000000","","PENDING","0","2026-02-18 13:11:09","","B + G + 7 RESIDENTIAL FLOORS + ROOF","Wadi Al Safa 3","","1","0","0","0",""
"4409","Binghatti Square 3","1051","Binghatti Developers FZE","2026-03-01 00:00:00","2027-06-30 00:00:00","","Normal","284000000","","PENDING","0","2026-02-18 13:13:33","","B + G + 7 RESIDENTIAL FLOORS + ROOF","Wadi Al Safa 3","","1","0","0","0",""
"4410","One Central Dubai","2518","One Central Development FZE","2026-01-01 00:00:00","2031-09-30 00:00:00","","Normal","6476940243","","PENDING","","","","4B+G+4PO+83+R \n4B+G+4PO+68+R \n4B+G+4PO+50+R ","Trade Center Second","","1","0","0","0",""
"4412","SHAPE","2520","REDIX ONE REAL ESTATE L.L.C","2026-04-02 00:00:00","2028-06-30 00:00:00","","Normal","175000000","","PENDING","0","2026-02-23 23:01:16","","Commercial Building 3B+G+6P+16+R","Al Barsha South Fourth","","1","0","0","0",""
"4414","X11","2596","BAMX ELEVEN REAL ESTATE DEVELOPMENT L.L.C","2026-04-01 00:00:00","2028-01-31 00:00:00","","Normal","40000000","","PENDING","","","","G+6+Roof Top","Madinat Al Mataar","","1","0","0","0",""
"4415","Golf Fields","1155","EMAAR DUBAI SOUTH DWC LLC","2026-04-05 00:00:00","2030-02-28 00:00:00","2026-03-02 14:42:54","Normal","173504916","001640238025601","ACTIVE","0","2026-02-18 10:53:46","","Residential Development consisting of 1 Building (G+P+11 Floors) with 181 Residential Units\n","Madinat Al Mataar","","0","0","0","181",""
"4416","Golf Vale","1155","EMAAR DUBAI SOUTH DWC LLC","2026-04-05 00:00:00","2030-03-31 00:00:00","2026-03-02 14:45:56","Normal","223589808","001640238031401","ACTIVE","0","2026-02-18 10:57:03","","Residential Development consisting of 1 Building (G+P+11 Floors) with 262 Residential Units\n","Madinat Al Mataar","","0","0","0","262",""
"4417","THE ATELIER ","1939","E L P G REAL ESTATE DEVELOPMENT L.L.C","2026-02-19 00:00:00","2031-12-31 00:00:00","","Normal","612000000","","PENDING","","","","COMMERCIAL TOWER ","Business Bay","","1","0","0","0",""
"4425","ARLINGTON PARK II BY MAJID","1655","MAJID DEVELOPMENTS L.L.C","2026-04-01 00:00:00","2028-04-01 00:00:00","2026-04-07 11:45:31","Normal","36500000","0205856696108","ACTIVE","0","2026-02-25 10:29:50","","G+2B+11+R","Wadi Al Safa 5","Dubai Development Authority (DDA)","0","0","0","129",""
"4435","1WOOD RESIDENCE 2","1579","OBJECT ONE REAL ESTATE DEVELOPMENT L.L.C","2026-03-15 00:00:00","2027-10-20 00:00:00","","Normal","40055000","","PENDING","0","2026-02-27 15:46:22","","UG+G+5P+2(O)+11(R)+R\n","Al Barsha South Fourth","","0","0","0","209",""
"4440","Celesto Tower 2","1921","TARRAD REAL ESTATE DEVELOPMENT L.L.C","2026-01-28 00:00:00","2028-06-28 00:00:00","","Normal","30200000","","PENDING","0","2026-03-08 18:25:53","","RESIDENTIAL BUILDING (4B +Ground + 13 Floors + Roof)","Wadi Al Safa 5","","0","0","0","231",""
"4442","Tresora by Wadan","2166","WADAN REAL ESTATE DEVELOPMENT L.L.C","2026-03-30 00:00:00","2028-03-30 00:00:00","","Normal","25000000","","PENDING","0","2026-03-09 11:36:12","","G+3P+17","Al Barsha South Fourth","","0","0","0","160",""
"4444","Vivo Residences South By Main Realty","1836","MAIN REALTY REAL ESTATE L.L.C","2026-04-06 00:00:00","2029-03-31 00:00:00","","Normal","45000000","","PENDING","","","","Residential Building (G+1P+6+R)","Saih Shuaib 2","","1","0","0","0",""
"4454","Havencia","2590","ALA REAL ESTATE DEVELOPMENTS L.L.C","2026-03-01 00:00:00","2028-03-31 00:00:00","","Normal","60000000","","PENDING","0","2026-04-02 11:03:40","","B+G+3P+13+R","Wadi Al Safa 5","","0","0","0","286",""
"4456","LUNAYA","2422","LUNAYA ZAYA REAL ESTATE DEVELOPMENT L.L.C S.O.C","2026-04-01 00:00:00","2029-03-31 00:00:00","","Normal","544207020","","PENDING","","","","Construction of 103 G+2 Townhouse Villas, 341 G+2+R Townhouse Villas, 80 G+2 semi attached Villas and 40 G+2 Independent Villas","Saih Shuaib 1","","1","0","0","0",""
